,category,link,title,summary
1,資訊安全,https://technews.tw/2020/04/23/academics-steal-data-from-air-gapped-systems-using-pc-fan-vibrations/?utm_source=fb_tn&utm_medium=facebook,比利時研究團隊新發現：不上網，駭客利用電腦風扇也能竊取資料 | TechNews 科技新報,比利時研究團隊新發現：不上網，駭客利用電腦風扇也能竊取資料 | TechNews 科技新報
2,科技,https://technews.tw/2020/04/23/over-hundred-professionalist-against-eid/?utm_source=fb_tn&utm_medium=facebook,「數位身分證」即將上路，卻有百位學者專家連署反對 | TechNews 科技新報,「數位身分證」即將上路，卻有百位學者專家連署反對 | TechNews 科技新報
3,蘋果專區,https://technews.tw/2020/04/23/flaw-in-iphone-ipads-may-have-allowed-hackers-to-steal-data-for-years/?utm_source=fb_tn&utm_medium=facebook,數億支 iPhone 及 iPad 驚爆「恐怖級」安全漏洞，駭客可獲取遠端存取完全權限 | TechNews 科技新報,數億支 iPhone 及 iPad 驚爆「恐怖級」安全漏洞，駭客可獲取遠端存取完全權限 | TechNews 科技新報
4,科技,https://technews.tw/2020/04/23/pompeo-says-world-must-have-access-to-chinese-labs-to-determine-source-of-coronavirus/?utm_source=fb_tn&utm_medium=facebook,蓬佩奧：病毒起源需調查中國「多個」實驗室，不只武漢 | TechNews 科技新報,蓬佩奧：病毒起源需調查中國「多個」實驗室，不只武漢 | TechNews 科技新報
5,職場白領,http://sc.piee.pw/Q3A2U,「吹哨」的英文怎麼說？ | 經理人,「吹哨」的英文怎麼說？ | 經理人
6,理財,https://www.storm.mg/lifestyle/2554750,【親子理財】媽，買股票會拿到股利分紅，「配息」指的給現金嗎？-風傳媒,【親子理財】媽，買股票會拿到股利分紅，「配息」指的給現金嗎？-風傳媒
7,商業,https://www.storm.mg/article/2551390,「與其賺1億美元，我寧願救1億人！」博士班狂修500學分，讓蔡秉燚發明N95口罩-風傳媒,「與其賺1億美元，我寧願救1億人！」博士班狂修500學分，讓蔡秉燚發明N95口罩-風傳媒
8,APP應用程式,https://www.ithome.com.tw/news/137163,研究：iOS Mail App傳零時差漏洞　iOS 6以上皆有風險 | iThome,研究：iOS Mail App傳零時差漏洞　iOS 6以上皆有風險 | iThome
9,iThome 新聞,https://www.ithome.com.tw/news/137145,微軟更新VS Code Python擴充套件，支援ipywidgets控制元件 | iThome,微軟更新VS Code Python擴充套件，支援ipywidgets控制元件 | iThome
10,iThome 新聞,https://www.ithome.com.tw/news/137157,Azure封存服務可讓用戶以高優先檢索快速取回資料 | iThome,Azure封存服務可讓用戶以高優先檢索快速取回資料 | iThome
